# algorithm=org.fhcrc.cpas.tools.FeatureStrategyPeakClusters
# date=Tue Mar 14 09:42:21 PST 2006
# filter= --scanFirst=5000 --scanLast=10000
# java.vendor=Sun Microsystems Inc.
# java.version=1.5.0_06
# origSourceFile=ms1features_1.tsv
# revision=3841
# user.name=dhmay
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	description
9803	3595.03	400.94446	false	799.8744	294.82336	2	1	0.65836865	0.0	0.0	2	9797	9826	6	2368.052	
7717	2836.35	400.9609	false	799.9073	407.51562	2	1	0.936003	0.0	0.0	2	7699	7723	5	2920.5947	
5838	2156.99	401.49786	false	400.4906	2776.7861	1	1	0.604593	0.0	0.0	3	5820	5844	5	16253.605	
9011	3301.35	402.26117	false	802.5078	417.6161	2	1	0.34853637	0.0	0.0	3	8993	9021	6	4471.939	
8161	2996.68	402.51273	false	401.50546	182.60486	1	1	0.4854235	0.0	0.0	2	8144	8167	5	2464.5845	
7185	2646.21	403.3632	false	1207.0677	1048.901	3	1	0.8621245	0.0	0.0	3	7169	7191	5	5905.6914	
5164	1917.15	403.42276	false	804.831	2093.6406	2	1	0.9257819	0.0	0.0	2	5152	5181	6	25431.912	
8901	3261.78	404.60364	false	1210.7891	151.10832	3	1	0.9255536	0.0	0.0	2	8895	8917	5	1209.2156	
9200	3370.79	405.34448	false	404.33722	579.5913	1	1	0.64522994	0.0	0.0	2	9189	9210	5	3148.1968	
6243	2306.49	406.83765	false	811.66077	1002.45874	2	1	0.6544236	0.0	0.0	2	6232	6255	5	8292.168	
5170	1919.16	407.21848	true	812.4224	31210.41	2	1	0.9794676	0.0	0.0	2	5129	5216	16	603017.56	
6521	2407.16	408.94446	false	407.9372	840.44543	1	1	0.42313004	0.0	0.0	2	6510	6539	6	9880.721	
8179	3002.87	409.01572	false	816.0169	336.77216	2	1	0.55912757	0.0	0.0	2	8167	8190	5	2800.5874	
7180	2644.14	411.99176	false	410.9845	652.19836	1	1	0.7730423	0.0	0.0	2	7175	7202	6	4657.3623	
6124	2262.61	413.63596	false	825.2574	1594.6879	2	1	0.7552611	0.0	0.0	2	6107	6129	5	10746.732	
7878	2894.77	413.87518	false	412.86792	176.7698	1	1	0.41565868	0.0	0.0	2	7866	7890	5	2565.5933	
9666	3544.74	415.29865	false	414.29138	467.26846	1	1	0.13322541	0.0	0.0	2	9656	9677	5	3261.0498	
8185	3005.0	415.54306	false	829.0716	437.0923	2	1	0.7130105	0.0	0.0	2	8161	8190	6	2561.8948	
5602	2072.97	416.15494	false	830.29535	2388.854	2	1	0.9340852	0.0	0.0	2	5584	5614	6	17667.234	
9549	3500.43	416.3411	false	830.66766	383.45447	2	1	0.8206187	0.0	0.0	2	9533	9560	6	2885.2202	
8248	3027.74	416.55417	false	415.5469	348.20593	1	1	0.37978384	0.0	0.0	2	8237	8260	5	2931.912	
8612	3159.31	416.75003	false	831.48553	378.40878	2	1	0.58177626	0.0	0.0	2	8595	8618	5	3323.378	
7503	2759.35	417.09625	false	832.178	843.6301	2	1	0.7690765	0.0	0.0	2	7480	7509	6	5642.8037	
8248	3027.74	417.4304	false	416.42313	389.24945	1	1	0.4157663	0.0	0.0	2	8237	8260	5	3800.091	
7688	2825.91	417.5833	false	833.1521	424.75665	2	1	0.6170711	0.0	0.0	2	7682	7705	5	2971.3042	
8731	3201.1	417.87415	false	416.86688	640.4961	1	1	0.15636477	0.0	0.0	2	8725	8754	6	3558.7573	
6742	2486.7	418.59677	false	417.5895	1222.6646	1	1	0.49394163	0.0	0.0	2	6731	6754	5	10808.211	
7884	2896.78	419.05853	false	418.05127	449.80426	1	1	0.53135145	0.0	0.0	2	7860	7884	5	2509.8389	
6695	2470.11	419.5234	false	418.51614	1307.4148	1	1	0.62309676	0.0	0.0	3	6671	6701	6	12726.416	
5263	1952.51	420.12775	false	419.12048	2864.916	1	1	0.69158256	0.0	0.0	2	5251	5275	5	19843.867	
8144	2990.49	421.55588	false	2102.7432	406.88385	5	1	0.69710875	0.0	0.0	5	8138	8161	5	2347.4612	
9917	3637.04	421.83337	false	420.8261	513.7269	1	1	0.13112725	0.0	0.0	2	9911	9935	5	3170.9897	
7152	2633.57	422.04495	false	421.0377	927.7623	1	1	0.9109543	0.0	0.0	2	7140	7164	5	5764.2046	
9683	3550.82	422.06073	false	842.10693	377.04218	2	1	0.7568582	0.0	0.0	2	9666	9689	5	2738.4443	
7699	2830.12	422.73734	false	421.73007	465.92633	1	1	0.15052421	0.0	0.0	2	7688	7711	5	3915.6023	
7326	2696.65	423.56784	false	845.12115	828.6345	2	1	0.32305917	0.0	0.0	3	7314	7337	5	6941.815	
8475	3109.05	423.67484	false	845.33514	456.317	2	1	0.56705624	0.0	0.0	2	8463	8487	5	2949.834	
5056	1877.42	426.52194	false	1276.5441	2715.897	3	1	0.6910449	0.0	0.0	3	5032	5067	7	24472.973	
9216	3377.11	427.43066	false	426.4234	152.75813	1	1	0.38585445	0.0	0.0	2	9216	9244	6	2281.0537	
8243	3025.62	427.6547	false	426.64743	370.4745	1	1	0.15562436	0.0	0.0	2	8237	8260	5	2644.0173	
5685	2102.29	428.48984	false	854.96515	1920.971	2	1	0.7363639	0.0	0.0	2	5673	5697	5	15071.6	
5299	1964.85	428.62643	false	855.23834	2570.0479	2	1	0.8582428	0.0	0.0	2	5281	5310	6	22158.967	
9572	3508.8	430.72015	false	429.7129	496.43494	1	1	0.61313814	0.0	64.564354	4	9560	9594	7	5975.598	
6313	2331.76	430.7358	true	429.72855	1288.0366	1	1	0.24873817	0.0	90.85725	2	6301	6330	6	14248.057	
8347	3063.18	431.01453	false	860.0145	571.9695	2	1	0.7497975	0.0	0.0	2	8336	8359	5	3138.9565	
9317	3414.49	431.0278	false	860.0411	448.28918	2	1	0.6067092	0.0	0.0	2	9311	9334	5	3197.2478	
5614	2077.21	431.4019	false	860.78925	2221.2341	2	1	0.8596613	0.0	0.0	2	5596	5625	6	20100.463	
8975	3289.01	432.06805	false	862.1216	304.06488	2	1	0.36473256	0.0	0.0	3	8951	8987	7	2700.5818	
7985	2934.32	432.3707	false	862.72687	397.71002	2	1	0.5729184	0.0	0.0	2	7980	8003	5	3178.3875	
5386	1996.19	432.5388	false	431.53152	1408.3856	1	1	0.3108594	0.0	0.0	2	5374	5398	5	11751.455	
6545	2415.53	433.14355	false	864.2726	1664.0818	2	1	0.9388473	0.0	0.0	2	6533	6562	6	11577.116	
5814	2148.42	434.51825	false	867.022	1389.1772	2	1	0.73284215	0.0	0.0	2	5796	5820	5	12442.525	
6993	2577.16	435.13763	false	434.13037	679.8211	1	1	0.40628198	0.0	0.0	2	6987	7011	5	5135.299	
8901	3261.78	436.97678	false	435.9695	387.07895	1	1	0.13034779	0.0	0.0	2	8895	8917	5	2276.2288	
9340	3423.05	439.5555	false	438.54825	371.36053	1	1	0.17065635	0.0	0.0	2	9317	9346	6	3780.7607	
7812	2871.85	439.95245	false	877.8904	554.70856	2	1	0.40756226	0.0	0.0	3	7795	7830	7	5687.931	
6527	2409.29	441.21838	false	880.42224	789.2623	2	1	0.7298684	0.0	0.0	2	6505	6527	5	3627.6528	
9982	3660.02	441.84677	false	440.8395	264.9711	1	1	0.43788418	0.0	0.0	2	9970	10010	8	3160.2012	
7367	2711.14	441.8655	false	881.7165	208.96646	2	1	0.55829024	0.0	0.0	2	7349	7379	6	3546.955	
5596	2070.85	444.33093	false	886.64734	1837.7561	2	1	0.44988322	0.0	0.0	3	5572	5614	8	19887.596	
5479	2029.48	444.71317	false	443.7059	2467.0554	1	1	0.8529122	0.0	0.0	2	5468	5491	5	20749.342	
6360	2348.44	445.6111	false	444.60385	1340.1001	1	1	0.4691319	0.0	0.0	2	6348	6372	5	11274.897	
7878	2894.77	446.40366	false	890.7928	259.3943	2	1	0.63518876	0.0	0.0	2	7854	7884	6	2480.607	
6568	2423.94	448.69446	false	447.6872	1598.5054	1	1	0.2852873	0.0	0.0	2	6545	6591	9	11807.36	
7694	2828.03	449.06598	false	896.11743	352.52356	2	1	0.8439613	0.0	10.286128	2	7676	7723	9	6818.874	
8969	3286.95	449.28433	false	896.55414	381.21167	2	1	0.84690636	0.0	0.0	2	8946	8981	7	3331.6248	
8696	3188.61	453.70264	false	905.39075	456.4738	2	1	0.9411791	0.0	0.0	3	8684	8708	5	3408.023	
7567	2782.11	454.50528	false	453.49802	826.7433	1	1	0.16166782	0.0	0.0	2	7556	7597	8	6809.7705	
7256	2671.45	454.57596	false	453.5687	900.657	1	1	0.18628263	0.0	0.0	2	7250	7273	5	7302.9624	
8807	3228.22	457.563	false	456.55573	405.0824	1	1	0.24113896	0.0	0.0	2	8783	8807	5	2673.1252	
6731	2482.53	457.71335	false	1370.1183	1072.5703	3	1	0.51867455	0.0	0.0	3	6719	6742	5	8945.237	
8743	3205.21	457.75574	false	1826.9939	378.1446	4	1	0.72391856	0.0	0.0	3	8737	8760	5	2951.548	
