# algorithm=org.fhcrc.cpas.tools.FeatureStrategyPeakClusters
# date=Wed Jan 04 11:34:06 PST 2006
# java.vendor=Sun Microsystems Inc.
# java.version=1.5.0_06
# label=227.1263+9.029694@C
# revision=3428
# user.name=dhmay
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	lightIntensity	heavyIntensity	ratio	labelCount	label	description
97	1544.443	849.394	false	1242.5209	13.6796055	2	1	0.8774998	8.672956	1.2660753	2	91	101	11	20393.715	144.95253	20248.762	0.007158587	2	227.1263+9.029694@C	
158	1617.8201	770.40466	false	857.4159	15.772787	2	1	0.9751096	3.651052	1.839062	3	156	161	6	12753.68	97.32927	12656.351	0.0076901526	3	227.1263+9.029694@C	
107	1557.0349	857.39404	false	1258.521	16.636076	2	1	0.98208106	8.922489	2.77402	2	104	112	9	4589.709	162.54468	4427.164	0.036715306	2	227.1263+9.029694@C	
189	1653.6119	760.32837	false	1064.3896	11.27999	2	1	0.14232817	2.4254968	1.4089534	3	185	193	9	2440.787	81.06465	2359.7224	0.03435347	2	227.1263+9.029694@C	
69	1511.944	857.4097	false	1258.5524	137.00116	2	1	0.19934148	7.0955243	1.7049168	6	62	87	26	2477.2686	1616.4076	860.86084	1.8776642	2	227.1263+9.029694@C	
21	1454.28	802.4218	false	347.16196	17.729637	1	1	0.2866194	4.8008347	1.505465	2	16	27	12	1524.246	181.79393	1342.452	0.13541931	2	227.1263+9.029694@C	
9	1441.0339	752.8662	false	822.339	32.84205	2	1	0.16860542	8.009487	2.7438996	3	4	17	14	1055.358	389.38007	665.97797	0.5846741	3	227.1263+9.029694@C	
73	1516.365	710.39404	false	737.39465	14.664103	2	1	0.6720152	3.2110963	1.4338555	2	68	79	12	862.7209	134.4138	728.30707	0.1845565	3	227.1263+9.029694@C	
9	1441.0339	826.3941	false	1423.6473	23.95861	2	1	0.22078265	6.8865223	1.4382231	3	4	19	16	1003.88184	326.34094	677.5409	0.48165497	1	227.1263+9.029694@C	
106	1555.933	791.905	false	900.4166	8.974578	2	1	0.6341743	2.6509461	2.001863	2	101	112	12	519.5169	100.883125	418.63376	0.24098182	3	227.1263+9.029694@C	
36	1472.386	743.4218	false	803.4502	11.670372	2	1	0.62227917	9.628269	2.5156422	2	33	37	5	152.61697	62.091072	90.52591	0.6858928	3	227.1263+9.029694@C	
110	1560.348	858.37555	false	1714.7366	1168.3536	2	1	0.033085547	63.493385	8.771278	5	101	119	19	17977.979	0.0	0.0	-1.0	0		
25	1460.2411	745.39404	false	744.3868	1114.4303	1	1	0.020280406	15.826528	12.413276	4	17	41	25	13456.231	0.0	0.0	-1.0	0		
89	1535.602	970.9579	false	1939.9012	823.70984	2	1	0.0228055	10.497823	2.5962036	5	81	103	23	9500.36	0.0	0.0	-1.0	0		
59	1499.35	950.4495	false	949.44226	522.21814	1	1	0.01853135	10.214185	1.7147348	4	52	71	20	5181.87	0.0	0.0	-1.0	0		
24	1459.1339	822.86615	false	1643.7178	442.20456	2	1	0.02636923	7.889987	6.34695	5	16	43	28	6010.585	0.0	0.0	-1.0	0		
116	1566.97	886.90265	false	1771.7908	363.86722	2	1	0.018168224	13.457684	1.8033577	6	111	129	19	3803.9243	0.0	0.0	-1.0	0		
111	1561.454	906.5051	false	905.49786	311.11084	1	1	0.0057613	5.225772	1.5554467	4	101	127	27	4203.1997	0.0	0.0	-1.0	0		
43	1481.672	853.4225	false	852.4152	307.6435	1	1	0.026419025	5.1904483	1.9034973	4	36	58	23	3355.7317	0.0	0.0	-1.0	0		
